DateTime,Open,High,Low,Close,Volume_(BTC)
2014-03-16,637.58,639.39,629.02,634.99,3296.50753371
2014-03-17,634.99,634.99,619.46,621.11,9165.08796086
2014-03-18,622.97,624.17,591.13,612.0,14907.79764662
2014-03-19,613.84,623.95,605.11,611.2,7079.91716071
2014-03-20,610.01,611.3,578.66,587.98,10906.66527996
2014-03-21,585.6,607.88,556.0,570.0,22418.17284296
2014-03-22,569.99,571.99,541.0,565.31,13614.29823427
2014-03-23,564.31,569.48,556.74,561.0,6098.75124042
2014-03-24,558.22,592.6,547.0,585.99,13674.05994214
2014-03-25,585.9,587.48,568.86,583.77,8107.38220171
2014-03-26,583.77,592.0,565.0,581.49,10310.36256376
2014-03-27,581.48,581.59,466.1,475.0,49205.95632387
2014-03-28,475.0,532.0,468.3,502.01,34960.0555779
2014-03-29,502.01,508.0,486.97,491.99,7446.55826452
2014-03-30,491.99,492.0,436.0,460.0,31437.04543486
2014-03-31,460.0,486.7,438.0,454.83,20986.65095994
2014-04-01,454.81,509.98,452.04,478.98,22904.80786015
2014-04-02,478.98,494.98,430.0,439.0,34478.66605234
2014-04-03,438.9,465.0,416.11,451.03,26944.97730518
2014-04-04,451.03,459.5,430.77,452.2,15699.31017002
2014-04-05,450.0,464.8,441.25,464.8,6467.31793588
2014-04-06,464.8,465.0,450.2,456.27,5283.84837762
2014-04-07,459.97,464.19,446.0,447.11,7419.24793683
2014-04-08,447.11,459.8,446.24,453.57,5844.4224734
2014-04-09,453.57,457.3,438.08,441.69,8006.6040704
2014-04-10,441.69,442.46,357.57,363.12,49713.84445343
2014-04-11,363.1,432.22,339.79,423.0,42124.74577434
2014-04-12,423.0,439.5,413.72,423.42,10809.0520644
2014-04-13,424.91,427.75,397.16,416.3,11017.88490469
2014-04-14,416.29,475.0,408.0,458.5,33640.67485638
2014-04-15,459.99,528.75,453.16,521.0,32622.07731475
2014-04-16,523.1,548.0,494.02,530.0,30710.47011723
2014-04-17,529.26,533.8,481.63,500.09,20052.70199809
2014-04-18,500.09,506.97,470.0,483.11,11142.839766
2014-04-19,482.1,507.43,472.81,503.8,10268.73294781
2014-04-20,505.18,516.53,493.0,500.0,5798.58019722
2014-04-21,501.07,515.0,490.0,496.74,8377.05680946
2014-04-22,497.98,504.9,485.2,490.0,8521.46548043
2014-04-23,490.0,495.2,484.61,492.0,5696.00906268
2014-04-24,491.94,505.0,480.0,502.2,7952.77348869
2014-04-25,502.15,503.99,438.05,466.52,33416.96300818
2014-04-26,466.71,470.96,451.07,459.0,8812.12009945
2014-04-27,459.22,461.97,429.95,430.0,9312.34600754
2014-04-28,430.0,452.16,424.0,442.9,18282.9859723
2014-04-29,440.41,454.47,432.02,448.0,13844.63506405
2014-04-30,448.0,453.99,433.08,448.85,10757.36482184
2014-05-01,449.0,465.88,447.97,460.97,9556.03788617
2014-05-02,460.97,462.99,444.51,454.5,8269.89141728
2014-05-03,452.0,454.5,431.0,439.0,7431.62647961
2014-05-04,439.0,442.83,429.55,438.04,5154.40779439
2014-05-05,435.88,445.0,425.0,433.0,8188.08279477
2014-05-06,431.64,434.0,420.27,428.01,8041.19841525
2014-05-07,429.0,452.0,425.67,440.0,13248.34902294
2014-05-08,441.47,450.08,437.61,437.69,6326.64918367
2014-05-09,439.6,457.08,437.71,452.37,8282.11115483
2014-05-10,452.78,459.24,449.79,455.39,4130.38790298
2014-05-11,457.7,458.2,429.6,440.0,8863.68574441
2014-05-12,437.67,443.77,431.56,442.5,4582.44144849
2014-05-13,442.48,442.75,430.61,439.12,5969.67167394
2014-05-14,439.12,449.96,438.36,446.0,6398.98824957
2014-05-15,444.07,452.67,444.02,446.0,5496.48180562
2014-05-16,446.27,452.41,444.5,447.31,3667.08110965
2014-05-17,447.55,451.48,445.01,449.06,2295.07351646
2014-05-18,449.07,451.43,444.52,446.91,2498.74305537
2014-05-19,446.91,450.0,441.44,448.34,4723.48939284
2014-05-20,448.34,500.0,447.14,489.0,28210.08506636
2014-05-21,489.0,499.1,487.11,493.98,7111.8995869
2014-05-22,493.98,530.0,492.65,529.99,17439.03492533
2014-05-23,529.99,547.1,518.55,523.77,19619.562245869998
2014-05-24,523.75,529.06,515.4,528.44,5528.52161577
2014-05-25,528.44,586.34,527.09,573.9,19782.59517625
2014-05-26,573.5,593.48,565.58,581.88,11633.71988586
2014-05-27,581.87,595.0,550.22,572.7,19805.25778576
2014-05-28,572.7,582.26,563.45,580.66,8980.55145796
2014-05-29,580.66,582.1,560.05,572.37,8110.31804184
2014-05-30,572.37,629.4,568.56,621.0,22502.94353545
2014-05-31,621.0,628.5,611.0,627.8,9696.70747452
2014-06-01,627.8,683.26,618.53,630.99,24149.97945797
2014-06-02,630.99,678.0,613.03,661.22,20087.27572293
2014-06-03,662.0,680.99,649.61,670.14,13572.80908815
2014-06-04,668.9,673.61,621.86,640.59,17375.56805213
2014-06-05,640.55,669.63,639.69,661.48,10724.8128158
2014-06-06,661.46,662.13,647.16,647.16,6452.18388554
2014-06-07,647.16,657.13,635.88,657.13,5749.30472799
2014-06-08,657.13,661.11,651.7,658.0,2600.8503958
2014-06-09,658.0,659.0,639.93,648.83,6798.26691408
2014-06-10,648.83,657.41,642.45,648.55,5909.59291707
2014-06-11,648.55,652.39,615.0,620.5,10429.62396539
2014-06-12,623.81,630.36,550.0,569.1,24822.48984166
2014-06-13,569.98,611.99,563.0,592.0,18670.61329898
2014-06-14,592.0,593.53,538.38,566.58,16567.97164988
2014-06-15,566.58,593.0,552.11,588.55,8807.69919892
2014-06-16,592.0,610.0,582.01,586.91,10767.8271681
2014-06-17,587.0,610.2,580.0,606.48,6588.30888155
2014-06-18,606.48,616.0,599.9,607.0,6744.90183982
2014-06-19,607.99,609.98,590.0,593.4,4638.14295037
2014-06-20,593.41,598.68,580.51,588.02,6709.97949424
2014-06-21,590.0,594.99,580.0,591.29,2949.19025766
2014-06-22,591.33,605.05,587.82,600.34,3856.98903213
2014-06-23,600.34,601.0,580.46,588.22,5295.94498307
2014-06-24,588.22,588.25,572.1,572.62,6502.14511419
2014-06-25,574.0,579.7,554.45,560.4,8893.45697276
2014-06-26,560.4,580.11,557.2,579.99,4674.87892834
2014-06-27,580.09,600.0,574.0,599.99,9183.33155023
2014-06-28,599.99,604.21,589.56,589.56,3084.68947887
2014-06-29,591.46,601.79,589.56,599.89,1593.33179969
2014-06-30,599.86,647.09,595.51,641.11,15516.12603652
2014-07-01,640.0,658.88,638.0,638.25,9497.73976296
2014-07-02,638.25,658.75,638.0,650.5,5305.55272768
2014-07-03,650.49,652.79,638.79,645.99,4969.91178981
2014-07-04,648.48,650.48,616.3,629.0,8739.04642335
2014-07-05,628.81,632.97,623.23,630.0,1830.57985986
2014-07-06,630.9,639.0,622.86,630.57,3334.9435415899998
2014-07-07,633.87,636.0,612.9,622.09,7109.07789511
2014-07-08,622.09,626.22,616.89,623.98,2675.17329599
